CODE,ENGLISHNAME,SCIENTIFICNAME,RANGE
9947,Bearded Mountaineer,Oreonympha nobilis,SA : c Peru
9787,Wedge-tailed Hillstar,Oreotrochilus adela,SA : s Bolivia
9777,Ecuadorian Hillstar,Oreotrochilus chimborazo,SA : s Colombia to c Ecuador
9781,Andean Hillstar,Oreotrochilus estella,SA : sw Peru to nw Argentina
9785,White-sided Hillstar,Oreotrochilus leucopleurus,SA : s Bolivia to s Argentina and Chile
9786,Black-breasted Hillstar,Oreotrochilus melanogaster,SA : c Peru
9346,Antillean Crested Hummingbird,Orthorhyncus cristatus,"NA : Puerto Rico,  Lesser Antilles"
9951,Bearded Helmetcrest,Oxypogon guerinii,"SA : Colombia, Venezuela"
9439,Fiery-throated Hummingbird,Panterpe insignis,"MA : Costa Rica, w Panama"
9847,Giant Hummingbird,Patagona gigas,SA : s Colombia to c Chile
9258,Scaly-breasted Hummingbird,Phaeochroa cuvierii,LA : se Mexico to n Colombia
9238,Tapajos Hermit,Phaethornis aethopyga,SA : Tapajós-Xingu interfluvium in Brazil (Para)
9210,Pale-bellied Hermit,Phaethornis anthophilus,LA : Panama to Venezuela
9235,Black-throated Hermit,Phaethornis atrimentalis,SA : Colombia to n Peru
9217,Sooty-capped Hermit,Phaethornis augusti,SA : n
9207,Straight-billed Hermit,Phaethornis bourcieri,SA : n Amazonia
9213,Scale-throated Hermit,Phaethornis eurynome,SA : se
9244,Grey-chinned Hermit,Phaethornis griseogularis,"SA : w, n Amazonia, nw Peru"
9179,Green Hermit,Phaethornis guy,LA : Costa Rica to se Peru
9184,White-bearded Hermit,Phaethornis hispidus,"SA : w, c Amazonia"
9227,Minute Hermit,Phaethornis idaliae,SA : se Brazil
9205,Koepcke's Hermit,Phaethornis koepckeae,SA : Peru
9185,Long-billed Hermit,Phaethornis longirostris,"LA : s Mexico to n Colombia,w Ecuador, nw Peru"
9226,Little Hermit,Phaethornis longuemareus,SA : ne Venezuela and the Guianas
9195,Great-billed Hermit,Phaethornis malaris,"SA : Amazonia, e Brazil"
9228,Cinnamon-throated Hermit,Phaethornis nattereri,"SA : e Bolivia, sw and e Brazil"
9206,Needle-billed Hermit,Phaethornis philippii,SA : w Amazonia
9216,Planalto Hermit,Phaethornis pretrei,"SA : e and sc Brazil to Bolivia, Paraguay and n Argentina"
9229,Reddish Hermit,Phaethornis ruber,SA : widespread
9223,Streak-throated Hermit,Phaethornis rupurumii,"SA : n, e Amazonia"
9222,Dusky-throated Hermit,Phaethornis squalidus,SA : se Brazil
9239,Stripe-throated Hermit,Phaethornis striigularis,LA : s Mexico to Venezuela and w Ecuador
9234,White-browed Hermit,Phaethornis stuarti,"SA : se Peru, c Bolivia"
9221,Buff-bellied Hermit,Phaethornis subochraceus,SA : c Bolivia to sw Brazil
9192,Long-tailed Hermit,Phaethornis superciliosus,SA : e Amazonia
9202,Tawny-bellied Hermit,Phaethornis syrmatophorus,SA : Colombia to Peru
9178,White-whiskered Hermit,Phaethornis yaruqui,"SA : w Colombia, Ecuador"
9722,Peruvian Piedtail,Phlogophilus harterti,"SA : c, se Peru"
9721,Ecuadorian Piedtail,Phlogophilus hemileucurus,SA : s Colombia to ne Peru
9938,Bronze-tailed Comet,Polyonymus caroli,"SA : c, s  Peru"
9533,White-tailed Goldenthroat,Polytmus guainumbi,"SA : n, ne, se"
9537,Tepui Goldenthroat,Polytmus milleri,"SA : Tepuis of Venezuela, w Guyana and extreme n Brazil"
9538,Green-tailed Goldenthroat,Polytmus theresiae,"SA : ne, w Amazonia"
9842,Great Sapphirewing,Pterophanes cyanopterus,SA : Colombia to n Bolivia
9147,Saw-billed Hermit,Ramphodon naevius,SA : se Brazil
9940,Black-backed Thornbill,Ramphomicron dorsale,SA : ne Colombia
9941,Purple-backed Thornbill,Ramphomicron microrhynchum,SA : n Venezuela to Bolivia
10043,Oasis Hummingbird,Rhodopis vesper,SA : nw Peru to n Chile
9934,Red-tailed Comet,Sappho sparganurus,SA : n Bolivia to c Chile
10017,Wedge-billed Hummingbird,Schistes geoffroyi,SA : n Venezuela to c Bolivia
10114,Glow-throated Hummingbird,Selasphorus ardens,MA : wc Panama
10116,Calliope Hummingbird,Selasphorus calliope,"NA : sw Canada, w USA"
10110,Volcano Hummingbird,Selasphorus flammula,"MA : Costa Rica, w Panama"
10105,Broad-tailed Hummingbird,Selasphorus platycercus,NA : wc USA
10106,Rufous Hummingbird,Selasphorus rufus,"NA : se Alaska, w Canada and nw USA"
10107,Allen's Hummingbird,Selasphorus sasin,NA : w
10115,Scintillant Hummingbird,Selasphorus scintilla,"MA : nc Costa Rica, w Panama"
9852,Juan Fernandez Firecrown,Sephanoides fernandensis,SA : Juan Fernandez Archipelago
9851,Green-backed Firecrown,Sephanoides sephaniodes,"SA : c and s Chile, c and w Argentina"
9357,Plovercrest,Stephanoxis lalandi,SA : se
9756,Violet-chested Hummingbird,Sternoclyta cyanopectus,SA : n Venezuela
9997,Grey-bellied Comet,Taphrolesbia griseiventris,SA : nw Peru
9547,Many-spotted Hummingbird,Taphrospilus hypostictus,"SA : Ecuador to nw Argentina, sw Brazil"
